Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
SJP376;MRNLCU50H25L049R;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Marconi, 66;Taranto
SJW251;GRSFBA76M26H294H;BluAcqua Forniture Srl di Giuseppe Esposito;Corso della Pace, 229;Rimini
SKG493;CRSLRA56E46A390N;Acque Chiare Servizi Srl di Marco Rossi;Via dei Mille, 6;Arezzo
SKK714;BNCCLD56B45A952Q;Gestione Idrica Integrata SpA di Francesco Bianchi;Via IV Novembre, 273;Bolzano
SKV331;MNTFNC97E63G999X;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso dell'Artigianato, 221;Prato
SLD908;CNTRSL78A50L117D;AcquaPura Italia Srl di Maria Costa;Corso Vittorio Emanuele, 142;Terni
SLE778;GRCPLA87B09F257F;PureFlow Idrica Srl di Alessandro Ricci;Via San Giovanni, 214;Modena
SMN284;MRCFNC69E23E506L;Acqua & Territorio SpA di Davide Gallo;Corso dell'Artigianato, 230;Lecce
SMN393;LNECRN49C45D612J;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale dei Lavoratori, 229;Firenze
SMS834;MNTLNZ79T05G535H;Cristallina Acque Srl di Giulia Moretti;Viale dei Lavoratori, 198;Piacenza
SNF419;MRTBBR48P41E625V;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale dei Lavoratori, 52;Livorno
SNI095;BRBBBR79E68D704U;BluAcqua Forniture Srl di Giuseppe Esposito;Via della Costituzione, 263;Forlì
SOI823;FRRLRT46H12A952P;Acque Chiare Servizi Srl di Marco Rossi;Via Europa, 54;Bolzano
SON234;BNCMNC95S45G535M;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Santa Maria, 74;Piacenza
SOP506;SPSNDR84B18L483Y;Acque Chiare Servizi Srl di Marco Rossi;Via Dante, 63;Udine
SPC268;BRBSFN79C22F704A;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Garibaldi, 244;Monza
SPC642;BNCFNC77E05D086O;Fonti Chiare Distribuzione Srl di Laura Mancini;Via Colombo, 53;Cosenza
SPK147;GLLPLA47M01L736Z;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Vittorio Emanuele, 40;Venezia
SPN251;BRBGLI71E26L840K;Gestione Idrica Integrata SpA di Francesco Bianchi;Piazza Mazzini, 294;Vicenza
SPU332;RLNLCU61E62D643K;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Nazionale, 127;Foggia
SPU788;GRCFBA56R11A390J;Fonti Chiare Distribuzione Srl di Laura Mancini;Via San Giovanni, 271;Arezzo
SQI906;GRDRRT80E06D704Z;Idrogest Italia SpA di Paolo De Luca;Via della Libertà, 232;Forlì
SQY287;LNGMRA72S63H501M;Idroservice Nazionale SpA di Sara Rizzo;Corso Cavour, 264;Roma
SRK530;MRTPRZ95A53H294K;Acque del Sud Italia SpA di Elena Giordano;Viale Italia, 115;Rimini
STL231;MRNLCU70C68H530G;Sorgenti d'Italia Srl di Roberto Marino;Corso Marconi, 247;Reggio Emilia
SUS128;CLMTRS69P49E506H;Sorgenti d'Italia Srl di Roberto Marino;Via del Commercio, 121;Lecce
SUX311;FRRVNT48H44D969O;Idrogest Italia SpA di Paolo De Luca;Via della Costituzione, 97;Genova
SVG421;GNTNGL80D53L117S;BluAcqua Forniture Srl di Giuseppe Esposito;Corso dell'Artigianato, 147;Terni
SVJ150;MRNRSO55T58E472X;Rete Idrica Nazionale SpA di Matteo Colombo;Via delle Scienze, 284;Latina
SVZ828;CPPGLI72M21G535L;Rete Idrica Nazionale SpA di Matteo Colombo;Via Roma, 154;Piacenza
SWE951;GNTCLD60C44G224C;Acque del Sud Italia SpA di Elena Giordano;Via della Costituzione, 254;Padova
SXP075;GLLLSN72C07G999I;Idroservice Nazionale SpA di Sara Rizzo;Via IV Novembre, 24;Prato
SYH890;SLVVNT88B52L378S;Gestione Idrica Integrata SpA di Francesco Bianchi;Via del Commercio, 267;Trento
SZK748;PNICML45S61L840D;Acqua & Territorio SpA di Davide Gallo;Via IV Novembre, 246;Vicenza
TAB057;FRRNTN72E01L840L;Idrogest Italia SpA di Paolo De Luca;Viale delle Industrie, 233;Vicenza
TAM355;FRRLRA71H43L117C;Acqua Sicura Forniture Srl di Chiara Lombardi;Via IV Novembre, 138;Terni
TAS311;LNGPLA85T03H703X;Acquedotto Peninsulare SpA di Lorenzo Conti;Via IV Novembre, 30;Salerno
TBP197;LMBDVD47H23H530U;Cristallina Acque Srl di Giulia Moretti;Corso del Porto, 132;Reggio Emilia
TCL925;LNGCST61L50A662N;PureFlow Idrica Srl di Alessandro Ricci;Corso della Pace, 82;Bari
TCP665;FNTLNE56S43B354J;Acqua Sicura Forniture Srl di Chiara Lombardi;Piazza Mazzini, 168;Cagliari
TDQ592;GRDDNL91R28H294Y;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso del Porto, 83;Rimini
TET012;RCCGPP72S19G478D;Idro Distribuzione Italiana SpA di Luca Russo;Via Europa, 174;Perugia
TFA722;RCCBBR55A49L781J;BluFonte Distribuzione SpA di Giovanni Greco;Via IV Novembre, 270;Verona
TFH785;BRNRCR70L26A285K;Sorgenti d'Italia Srl di Roberto Marino;Via dei Mille, 179;Andria
TFQ512;LMBCHR48R47F205R;Idro Distribuzione Italiana SpA di Luca Russo;Corso dell'Artigianato, 281;Milano
TFQ595;DSNLRT48H04L219I;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Nazionale, 293;Torino
TGI194;RSSMNC88H55G337L;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Garibaldi, 267;Parma
THW220;MRTRSO64P66E472E;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Nazionale, 176;Latina
TIF096;SNTRRT46B04D643G;Rete Idrica Nazionale SpA di Matteo Colombo;Via dei Mille, 67;Foggia
TJJ918;RCCSRA51P41D086L;Idroservice Nazionale SpA di Sara Rizzo;Corso Vittorio Emanuele, 18;Cosenza
TKT062;LMBLRT68S22B157P;Idrogest Italia SpA di Paolo De Luca;Via della Costituzione, 106;Brescia
TKZ464;MRCLSE79S41E472E;Gestione Idrica Integrata SpA di Francesco Bianchi;Via delle Scienze, 157;Latina
TMY406;CRSVNT48P48H530F;Acque Chiare Servizi Srl di Marco Rossi;Corso Vittorio Emanuele, 2;Reggio Emilia
TNG282;DLCCML78S44A390R;Fonti Chiare Distribuzione Srl di Laura Mancini;Via dell'Acquedotto, 62;Arezzo
TNY240;CLMFNC56H56L424S;Acqua & Territorio SpA di Davide Gallo;Via Matteotti, 172;Trieste
TOR958;FRRSFN91R07L840I;Rete Idrica Nazionale SpA di Matteo Colombo;Viale dei Lavoratori, 217;Vicenza
TOX309;BRBGPP77D25L117M;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso XX Settembre, 136;Terni
TPJ557;MRNFRC47S49G482V;Gestione Idrica Integrata SpA di Francesco Bianchi;Via IV Novembre, 230;Pescara
TPQ109;RSSCHR61H48F205X;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Santa Maria, 219;Milano
TQB605;LNESRG96D25F205A;Acquedotto Centrale Italiano Srl di Antonio Romano;Via IV Novembre, 295;Milano
TQJ974;CPPMRC86E13G535S;AcquaPura Italia Srl di Maria Costa;Via Colombo, 294;Piacenza
TQQ877;LMBVNT88C42A952S;Idro Distribuzione Italiana SpA di Luca Russo;Via Colombo, 175;Bolzano
TRH530;RCCLSE74A63F205W;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Colombo, 20;Milano
TSP597;SNTVNT59H65H530Z;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso dell'Artigianato, 198;Reggio Emilia
TUM248;MRNCST98A43D643C;Servizi Idrici del Nord Srl di Stefano Bruno;Via della Costituzione, 30;Foggia
TUX939;MRTSMN51S15G482K;Cristallina Acque Srl di Giulia Moretti;Via San Giovanni, 236;Pescara
TVJ192;BNCCHR93M63L117I;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Nazionale, 278;Terni
TVM932;CSTLNE60S68E472T;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso del Porto, 272;Latina
TVX495;BRBNDR78B06C351E;Cristallina Acque Srl di Giulia Moretti;Corso dell'Artigianato, 292;Catania
TWP055;MRTRRT82L59E625W;BluAcqua Forniture Srl di Giuseppe Esposito;Corso dell'Artigianato, 252;Livorno
TXB978;SPSSRG72C11A390J;PureFlow Idrica Srl di Alessandro Ricci;Corso Vittorio Emanuele, 40;Arezzo
TXD803;RMNFNC77A49L483W;PureFlow Idrica Srl di Alessandro Ricci;Via della Costituzione, 233;Udine
TYQ129;GNTLRA86E41E506B;Idrogest Italia SpA di Paolo De Luca;Corso della Pace, 81;Lecce
TZD475;RZZLRT72S17D969M;Acquedotto Peninsulare SpA di Lorenzo Conti;Piazza Mazzini, 33;Genova
TZU314;MRNFBA89L14H224V;Acque Chiare Servizi Srl di Marco Rossi;Via San Giovanni, 92;Reggio Calabria
UAB105;NREMRC68E10H530W;AcquaPura Italia Srl di Maria Costa;Viale dei Lavoratori, 31;Reggio Emilia
UAG149;MRTGNN91E51A952Z;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Italia, 68;Bolzano
UAX232;MNTRRT93B61A794Y;Idrogest Italia SpA di Paolo De Luca;Corso XX Settembre, 154;Bergamo
UBO934;MRCLCU84D45F952D;AcquaPura Italia Srl di Maria Costa;Corso del Porto, 90;Novara
UBQ350;RCCLSN82A51L736U;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Roma, 141;Venezia
UBU373;FNTVNT64M50E472M;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso XX Settembre, 180;Latina
UDL435;GRSCRL61S22L219I;PureFlow Idrica Srl di Alessandro Ricci;Via della Costituzione, 259;Torino
UDM725;MRNGNN96R66E625C;BluAcqua Forniture Srl di Giuseppe Esposito;Via Verdi, 190;Livorno
UED685;RMNCRN58P65F257I;Acque Chiare Servizi Srl di Marco Rossi;Via Roma, 226;Modena
UEZ218;RCCNTN65S28L736Y;BluAcqua Forniture Srl di Giuseppe Esposito;Via Roma, 175;Venezia
UFB815;BRBLRA66T45F205H;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale della Repubblica, 252;Milano
UFU273;RSSSRA54P49D704I;Idrogest Italia SpA di Paolo De Luca;Via della Costituzione, 90;Forlì
UGD305;CRSGLI68C08D704Y;Idrogest Italia SpA di Paolo De Luca;Corso della Pace, 20;Forlì
UGF858;CNTNDR59M09L117D;Acque del Sud Italia SpA di Elena Giordano;Corso Garibaldi, 287;Terni
UGN509;LMBGNN45E06G999U;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Vittorio Emanuele, 288;Prato
UHF707;VTLSMN72D24G535Y;Gestione Idrica Integrata SpA di Francesco Bianchi;Via dell'Acquedotto, 140;Piacenza
UHM857;FRRMRC52D21F839C;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Marconi, 196;Napoli
UHP420;MRNVNT57T62G478T;BluAcqua Forniture Srl di Giuseppe Esposito;Corso della Pace, 191;Perugia
UHR093;LMBFNC73D50E625G;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale della Repubblica, 239;Livorno
UHR278;RCCTRS55B51L049Q;BluFonte Distribuzione SpA di Giovanni Greco;Via del Commercio, 136;Taranto
UII189;CNTCHR80L46G337N;Acqua Sicura Forniture Srl di Chiara Lombardi;Via delle Scienze, 266;Parma
UJK628;SRRCRN49C63L736M;Cristallina Acque Srl di Giulia Moretti;Via della Libertà, 61;Venezia
UJZ154;GRDVNT90L67C573U;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Vittorio Emanuele, 4;Cesena
UKC803;MRTRCR69T02D643E;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Roma, 99;Foggia
UKM965;DNGGLI90P56H199E;Idrogest Italia SpA di Paolo De Luca;Corso Marconi, 50;Ravenna
ULM727;MNTNRC73T14L049T;Idro Distribuzione Italiana SpA di Luca Russo;Viale Italia, 182;Taranto
UMD183;NREMRA51M60L049M;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Nazionale, 196;Taranto
UMZ941;RSSRRT65A64D548B;Sorgenti d'Italia Srl di Roberto Marino;Via Dante, 63;Ferrara
UND618;LMBPLA92B42A952U;Servizi Idrici del Nord Srl di Stefano Bruno;Viale Leopardi, 64;Bolzano
UNI684;DLCVCN51C10C351T;Rete Idrica Nazionale SpA di Matteo Colombo;Via delle Scienze, 23;Catania
UPG890;VTLFNC68T02D969X;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Italia, 216;Genova
UQI249;GLLCRN80C67G273V;Idroservice Nazionale SpA di Sara Rizzo;Via Colombo, 164;Palermo
URB394;CRSNRC97B04L219C;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Italia, 186;Torino
URP860;MRTCLD80H42G535I;Idrogest Italia SpA di Paolo De Luca;Via Roma, 46;Piacenza
USC957;RCCRCR82A13C351U;BluAcqua Forniture Srl di Giuseppe Esposito;Via IV Novembre, 36;Catania
USO996;CLMMRC68R12A271B;Acque del Sud Italia SpA di Elena Giordano;Corso Vittorio Emanuele, 214;Ancona
UTK353;CRSGLI69P64A271C;Fonti Chiare Distribuzione Srl di Laura Mancini;Via delle Scienze, 15;Ancona
UTU473;BRNCST67L53D704H;Idro Distribuzione Italiana SpA di Luca Russo;Piazza Mazzini, 10;Forlì
UUU010;GRCLSN49B13H530T;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Nazionale, 250;Reggio Emilia
UVA821;MRNDNL78P13L483E;Acque Chiare Servizi Srl di Marco Rossi;Viale della Repubblica, 242;Udine
UVP519;DLCLSN59R50D086S;Fonti Chiare Distribuzione Srl di Laura Mancini;Via IV Novembre, 117;Cosenza
UVQ162;MRNMRC89M28I452P;Servizi Idrici del Nord Srl di Stefano Bruno;Via Verdi, 131;Sassari
UVQ699;MRCCST85P48D612R;Rete Idrica Nazionale SpA di Matteo Colombo;Corso della Pace, 147;Firenze
UWE888;VTLCST78M59C351T;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Marconi, 77;Catania
UXC149;FRRLSE51L58H199O;Idroservice Nazionale SpA di Sara Rizzo;Corso Cavour, 167;Ravenna
UXD897;NREPRZ77R47B354N;Fonti Chiare Distribuzione Srl di Laura Mancini;Via Colombo, 66;Cagliari
UXD998;CSTFBA59P27E506O;Acqua & Territorio SpA di Davide Gallo;Via Dante, 238;Lecce
UXO825;PNILRA88M63L049T;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 23;Taranto
UXY736;GLLGLI81M62L840C;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Vittorio Emanuele, 205;Vicenza
UYK335;LMBMTT87B11A271W;Acque Chiare Servizi Srl di Marco Rossi;Viale Italia, 284;Ancona
UYM971;CPPLCU85R22F952E;Idroservice Nazionale SpA di Sara Rizzo;Corso Marconi, 269;Novara
UYR535;LNGCRN78A64L378K;Acqua Sicura Forniture Srl di Chiara Lombardi;Via dell'Acquedotto, 102;Trento
VAO831;GLLSRA93T56A390B;Acqua & Territorio SpA di Davide Gallo;Via Dante, 265;Arezzo
VAS980;DNGMRC56M27E472I;BluFonte Distribuzione SpA di Giovanni Greco;Via Europa, 52;Latina
VDA978;RCCCHR77H45H501Z;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Garibaldi, 156;Roma
VDG825;LMBPLA77T26D548Z;AcquaPura Italia Srl di Maria Costa;Viale Santa Maria, 82;Ferrara
VDT346;DNGFNC89R66A390G;Cristallina Acque Srl di Giulia Moretti;Viale Italia, 228;Arezzo
VDY407;DNGSMN51B05D612F;Cristallina Acque Srl di Giulia Moretti;Corso Cavour, 91;Firenze
VET460;GNTNGL87D61A944Y;Acquedotto Peninsulare SpA di Lorenzo Conti;Via San Giovanni, 36;Bologna
VFC086;BRNNRC91R04G482X;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso dell'Artigianato, 299;Pescara
VGV152;GRCLCU83T47B354W;Cristallina Acque Srl di Giulia Moretti;Via San Giovanni, 46;Cagliari
VHF030;VLLVNT93S61G224T;BluAcqua Forniture Srl di Giuseppe Esposito;Corso del Porto, 282;Padova
VHG923;RZZGNN84D07I452N;Rete Idrica Nazionale SpA di Matteo Colombo;Corso della Pace, 228;Sassari
VHU287;GRSNRC88M03H294T;Sorgenti d'Italia Srl di Roberto Marino;Viale delle Industrie, 280;Rimini
VIG802;SPSLSN97P63L378H;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via dell'Acquedotto, 250;Trento
VIH740;RNLPRI61H08A390V;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Marconi, 69;Arezzo
VJC269;DNGSMN89D28D704N;Idrogest Italia SpA di Paolo De Luca;Via Dante, 175;Forlì
VJJ335;RSSLCU58D11L781J;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Libertà, 37;Verona
VJX204;DSNMRC96L26B157I;Cristallina Acque Srl di Giulia Moretti;Via della Costituzione, 189;Brescia
VKG481;MNTDVD88C05H224Z;Acque Chiare Servizi Srl di Marco Rossi;Viale dei Lavoratori, 280;Reggio Calabria
VLX913;MNTTRS92C53F952K;AcquaPura Italia Srl di Maria Costa;Viale Nazionale, 183;Novara
VMA432;SRRRRT78P67C573F;AcquaPura Italia Srl di Maria Costa;Viale Leopardi, 111;Cesena
VMH979;CNTSRA48L45H530Q;Acquedotto Peninsulare SpA di Lorenzo Conti;Via del Commercio, 148;Reggio Emilia
VNT125;RLNMTT66L10L424M;Acqua Sicura Forniture Srl di Chiara Lombardi;Via IV Novembre, 269;Trieste
VNX783;LMBCLD71M45E472Z;AcquaPura Italia Srl di Maria Costa;Via San Giovanni, 120;Latina
VPQ309;CPPNTN96C23H294E;Cristallina Acque Srl di Giulia Moretti;Viale Santa Maria, 138;Rimini
VQG658;GRSFNC90E19D704W;Sorgenti d'Italia Srl di Roberto Marino;Viale delle Industrie, 115;Forlì
VTM268;MRTLSN65H62E625L;Idro Distribuzione Italiana SpA di Luca Russo;Piazza Mazzini, 118;Livorno
VVN353;FRRCRN85P52A794D;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Italia, 299;Bergamo
VVV428;CNTLNE50B43G273M;Rete Idrica Nazionale SpA di Matteo Colombo;Viale delle Industrie, 277;Palermo
VVX296;DLCRRT54C45G535L;Servizi Idrici del Nord Srl di Stefano Bruno;Via della Libertà, 224;Piacenza
VWE172;SLVSMN64C25A944Z;PureFlow Idrica Srl di Alessandro Ricci;Via Europa, 50;Bologna
VWT388;LNGMHL98D28F257F;BluFonte Distribuzione SpA di Giovanni Greco;Viale dei Lavoratori, 24;Modena
VXM316;FRRGNN92R44L117U;PureFlow Idrica Srl di Alessandro Ricci;Corso Vittorio Emanuele, 44;Terni
VYV468;CLMNNA94T47A944F;Idro Distribuzione Italiana SpA di Luca Russo;Corso Marconi, 202;Bologna
VZU602;DSNCML73A61H224W;Idro Distribuzione Italiana SpA di Luca Russo;Viale Santa Maria, 291;Reggio Calabria
WAH530;VTLGLI85R19G478Q;AcquaPura Italia Srl di Maria Costa;Via dell'Acquedotto, 21;Perugia
WBM519;VLLPLA83T23D086M;Idroservice Nazionale SpA di Sara Rizzo;Viale dei Lavoratori, 93;Cosenza
WBN409;VLLRSO50M43L049R;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Nazionale, 260;Taranto
WBX068;VTLDNL93S10H199M;AcquaPura Italia Srl di Maria Costa;Corso Vittorio Emanuele, 198;Ravenna
WCA785;RSSFNC93T50A662F;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Nazionale, 227;Bari
WCK817;GLLSMN86A28G273V;Acque Chiare Servizi Srl di Marco Rossi;Corso Vittorio Emanuele, 158;Palermo
WCS739;CPPSRA98S67C351X;Sorgenti d'Italia Srl di Roberto Marino;Via della Libertà, 182;Catania
WCY118;RSSFNC53P50A794V;Gestione Idrica Integrata SpA di Francesco Bianchi;Via San Giovanni, 73;Bergamo
WDA705;MRTSLV78C43G337K;Acqua & Territorio SpA di Davide Gallo;Corso del Porto, 44;Parma
WDC374;GRSLSE84D67A794D;Cristallina Acque Srl di Giulia Moretti;Viale dei Lavoratori, 213;Bergamo
WDD665;GLLPRZ89R59L736E;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Marconi, 134;Venezia
WDF372;CSTLSN88H45L117H;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso XX Settembre, 18;Terni
WDY518;MRTFRC85A56F205C;PureFlow Idrica Srl di Alessandro Ricci;Via della Libertà, 67;Milano
WEH387;BRNGLI79H14G482G;Cristallina Acque Srl di Giulia Moretti;Corso dell'Artigianato, 137;Pescara
WEJ964;BRNLSN95C49F704E;AcquaPura Italia Srl di Maria Costa;Corso dell'Artigianato, 125;Monza
WFN057;LNESLV57M60D643N;Acque Chiare Servizi Srl di Marco Rossi;Via del Commercio, 156;Foggia
WFU112;RNLRRT63S68F952E;Cristallina Acque Srl di Giulia Moretti;Viale Nazionale, 127;Novara
WGL028;LMBFNC76E05L049V;Idrogest Italia SpA di Paolo De Luca;Via delle Scienze, 133;Taranto
WGM878;DLCMRA88D52I452K;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dei Mille, 146;Sassari
WHD270;PNICRL97P28H224B;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso della Pace, 198;Reggio Calabria
WHG791;PNIGRG48E24G482Q;BluFonte Distribuzione SpA di Giovanni Greco;Viale Nazionale, 152;Pescara
WHL766;FRRRRT97A25H294A;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 61;Rimini
WHR290;GRDSMN73R18A952L;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale delle Industrie, 289;Bolzano
WHS160;LNESRA63D47G999Z;Idrogest Italia SpA di Paolo De Luca;Piazza Mazzini, 55;Prato
WKM308;GRCGPP91A16D969V;Acque Chiare Servizi Srl di Marco Rossi;Viale dei Lavoratori, 283;Genova
WKY971;LMBCLD84B45D704Q;Cristallina Acque Srl di Giulia Moretti;Via Verdi, 145;Forlì
WLB121;RMNLCU62H25D704Y;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Cavour, 228;Forlì
WLT285;RSSTRS66L61B354G;Acqua & Territorio SpA di Davide Gallo;Corso dell'Artigianato, 236;Cagliari
WMI540;FNTGNN94D21L736D;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Dante, 95;Venezia
WNX986;MNCLNZ51A22H199V;Acque del Sud Italia SpA di Elena Giordano;Via dei Mille, 8;Ravenna
WOA213;DNGSRG75A22E625B;AcquaPura Italia Srl di Maria Costa;Corso del Porto, 154;Livorno
WOT152;DNGRSL78B44E506P;Sorgenti d'Italia Srl di Roberto Marino;Corso della Pace, 246;Lecce
WOY773;DSNFNC58C21L483F;Idrogest Italia SpA di Paolo De Luca;Via Europa, 47;Udine
WPL657;MRNCHR76C51F704Z;Idroservice Nazionale SpA di Sara Rizzo;Via San Giovanni, 196;Monza
WQF104;FRRCLD56L47A390E;Acque del Sud Italia SpA di Elena Giordano;Via Dante, 166;Arezzo
WQI155;NREGNN89D48A794W;PureFlow Idrica Srl di Alessandro Ricci;Via della Costituzione, 11;Bergamo
WQJ218;GLLLNE75P62G999C;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Cavour, 224;Prato
WQU741;LNERRT91H42D612M;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso dell'Artigianato, 280;Firenze
WRB808;LNELCU79S48G273S;Acque del Sud Italia SpA di Elena Giordano;Corso Marconi, 130;Palermo
WRC863;MNTVNT95P55A952B;Servizi Idrici del Nord Srl di Stefano Bruno;Via dei Mille, 92;Bolzano
WRL467;GNTLNZ93C17F952Z;Sorgenti d'Italia Srl di Roberto Marino;Corso Cavour, 136;Novara
WRP494;MRTPRI61B12H294C;Acqua Sicura Forniture Srl di Chiara Lombardi;Via IV Novembre, 207;Rimini
WSG847;MNCCHR94S48A271O;Idrogest Italia SpA di Paolo De Luca;Via delle Scienze, 273;Ancona
WTR189;GNTNDR69D04A271B;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Matteotti, 43;Ancona
WTV697;FRRMHL89H13C352U;Acque Chiare Servizi Srl di Marco Rossi;Via IV Novembre, 155;Catanzaro
WUB620;RSSNTN96T23G999D;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Marconi, 297;Prato
WVD595;FRRCLD48S42L736B;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale della Repubblica, 76;Venezia
WVD843;GLLCLD69H55D643X;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Costituzione, 224;Foggia
WVU330;RSSGLI53A50L736V;Acque Chiare Servizi Srl di Marco Rossi;Corso Vittorio Emanuele, 149;Venezia
WXJ700;SLVPLA65S64H501P;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Santa Maria, 154;Roma
WYK051;GRCFRC75B54L483T;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Santa Maria, 251;Udine
WYU001;GNTSRA52S42G337H;Cristallina Acque Srl di Giulia Moretti;Via Roma, 179;Parma
WZT072;MRTFRC70L60A390F;Acque Chiare Servizi Srl di Marco Rossi;Via dei Mille, 32;Arezzo
XAB841;GNTGRG84A20H199W;Idrogest Italia SpA di Paolo De Luca;Corso Cavour, 82;Ravenna
XBT624;LMBGLI54A06L424U;Idrogest Italia SpA di Paolo De Luca;Via IV Novembre, 227;Trieste
XCW920;CRSMRA61B60L736T;Idroservice Nazionale SpA di Sara Rizzo;Via dei Mille, 168;Venezia
XCX808;RLNNRC78H16F704V;BluFonte Distribuzione SpA di Giovanni Greco;Viale delle Industrie, 113;Monza
XDY533;GRCRRT62S07C573A;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Marconi, 114;Cesena
XEV058;FNTFBA93R09D704X;Idroservice Nazionale SpA di Sara Rizzo;Via del Commercio, 160;Forlì
XEX902;CPPMTT56C28E625R;Idrogest Italia SpA di Paolo De Luca;Via delle Scienze, 217;Livorno
XFN181;GLLMRC51A18F704O;Sorgenti d'Italia Srl di Roberto Marino;Corso Cavour, 244;Monza
XGZ475;MRNSFN69S03G478B;Gestione Idrica Integrata SpA di Francesco Bianchi;Via del Commercio, 212;Perugia
XHA234;CLMMHL90A06G999M;Idroservice Nazionale SpA di Sara Rizzo;Via Verdi, 140;Prato
XHH464;LNEMSM68M21H501V;Acque Chiare Servizi Srl di Marco Rossi;Corso Garibaldi, 247;Roma
XHH915;VLLSRG85L20A794T;Cristallina Acque Srl di Giulia Moretti;Corso XX Settembre, 247;Bergamo
XHL307;FRRMRC71B11B354X;Idrogest Italia SpA di Paolo De Luca;Corso Marconi, 135;Cagliari
XHN441;GRDFNC90S53B354D;Idroservice Nazionale SpA di Sara Rizzo;Viale Italia, 145;Cagliari
XIQ395;GLLRSO71P60L049I;AcquaPura Italia Srl di Maria Costa;Viale Leopardi, 78;Taranto
XIV142;MRTMHL69H23D704M;AcquaPura Italia Srl di Maria Costa;Via Verdi, 296;Forlì
XIW196;SPSLRT73C28G337A;Acque Chiare Servizi Srl di Marco Rossi;Via del Commercio, 2;Parma
XJI216;RZZLSE53S67A662E;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Vittorio Emanuele, 14;Bari
XJZ472;RLNGPP45R12G478C;BluAcqua Forniture Srl di Giuseppe Esposito;Corso XX Settembre, 127;Perugia
XLE459;MRTLNE68L57I452E;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 123;Sassari
XLJ414;BRBNRC48M20F952K;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso del Porto, 149;Novara
XLO796;RCCMNC50H45E506Y;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Costituzione, 234;Lecce
